Отдел,ФИО,Должность,№ вн.,общ. №,городской №,email
Совет директоров,Иванов А,Председатель СД,100,600,903321,ivanov@company.com
Совет директоров,Петров Б,ЗамПред СД,101,601,903322,petrov@company.com
Совет директоров,Сидоров С,Член СД,103,601,903323,sidorov@company.com
СВА,Плюшкин В,Вр. ИО Начальник СВА,201,701,903444,plyushkin@company.com
СВА,Хренушкин Г,Ст. Спец СВА,202,701,903445,hrenushkin@company.com
СКК,Пень С,Начальник СКК,210,703,903555,pen@company.com
СКК,Березина П,Специалист СКК,211,703,903538,berezina@company.com
ИТ отдел,Кузнецов Д,Системный администратор,301,704,903666,kuznetsov@company.com
Бухгалтерия,Смирнова Е,Главный бухгалтер,401,705,903777,smirnova@company.com
Бухгалтерия,Волков М,Бухгалтер,402,705,903778,volkov@company.com
